ticker,company_name,sector,listing_date
102260,동성케미컬,합성고무 및 플라스틱 물질 제조업,2008-06-23
032640,LG유플러스,전기 통신업,2008-04-21
101140,인바이오젠,기계장비 및 관련 물품 도매업,2008-04-02
020560,아시아나항공,항공 여객 운송업,2008-03-28
100840,SNT에너지,일반 목적용 기계 제조업,2008-02-22
100250,진양홀딩스,플라스틱제품 제조업,2008-02-15
085310,엔케이,"구조용 금속제품, 탱크 및 증기발생기 제조업",2008-01-24
051600,한전KPS,전기 및 통신 공사업,2007-12-14
092440,기신정기,특수 목적용 기계 제조업,2007-10-30
044450,KSS해운,해상 운송업,2007-10-26
094280,효성 ITX,기타 사업지원 서비스업,2007-10-25
033270,유나이티드,의약품 제조업,2007-10-23
092200,디아이씨,자동차 신품 부품 제조업,2007-10-18
097950,CJ제일제당,기타 식품 제조업,2007-09-28
028670,팬오션,해상 운송업,2007-09-21
097230,HJ중공업,토목 건설업,2007-08-31
096760,JW홀딩스,기타 금융업,2007-07-31
096770,SK이노베이션,석유 정제품 제조업,2007-07-25
029780,삼성카드,기타 금융업,2007-06-27
001780,알루코,1차 비철금속 제조업,2007-06-07
095720,웅진씽크빅,초등 교육기관,2007-05-31
094800,맵스리얼티,신탁업 및 집합투자업,2007-04-09
090370,메타랩스,봉제의복 제조업,2006-12-26
093370,후성,기초 화학물질 제조업,2006-12-22
093050,LF,봉제의복 제조업,2006-12-01
044380,주연테크,컴퓨터 및 주변장치 제조업,2006-11-15
044820,코스맥스비티아이,기타 금융업,2006-11-13
034590,인천도시가스,연료용 가스 제조 및 배관공급업,2006-11-07
009770,삼정펄프,"펄프, 종이 및 판지 제조업",2006-10-17
092220,KEC,반도체 제조업,2006-10-16
092230,KPX홀딩스,기초 화학물질 제조업,2006-10-12
089470,HDC현대EP,기타 화학제품 제조업,2006-09-25
090350,노루페인트,기타 화학제품 제조업,2006-07-03
090430,아모레퍼시픽,기타 화학제품 제조업,2006-06-29
032350,롯데관광개발,여행사 및 기타 여행보조 서비스업,2006-06-08
090080,평화산업,자동차 신품 부품 제조업,2006-06-02
049800,우진플라임,특수 목적용 기계 제조업,2006-05-24
035510,신세계I&C,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2006-05-18
088790,진도,기타 전문 도매업,2006-03-28
088980,맥쿼리인프라,신탁업 및 집합투자업,2006-03-15
023530,롯데쇼핑,종합 소매업,2006-02-09
086280,현대글로비스,기타 운송관련 서비스업,2005-12-26
084870,티비에이치글로벌,봉제의복 제조업,2005-12-19
086790,하나금융지주,기타 금융업,2005-12-12
001560,제일연마,기타 비금속 광물제품 제조업,2005-12-09
079430,현대리바트,가구 제조업,2005-11-22
084010,대한제강,1차 철강 제조업,2005-10-31
075180,새론오토모티브,자동차 신품 부품 제조업,2005-10-21
083420,그린케미칼,기타 화학제품 제조업,2005-10-20
084690,대상홀딩스,기타 금융업,2005-08-17
071950,코아스,가구 제조업,2005-08-04
084680,이월드,귀금속 및 장신용품 제조업,2005-07-26
084670,동양고속,육상 여객 운송업,2005-07-25
042700,한미반도체,특수 목적용 기계 제조업,2005-07-22
004890,동일산업,1차 철강 제조업,2005-06-30
010960,삼호개발,기반조성 및 시설물 축조관련 전문공사업,2005-05-12
073240,금호타이어,고무제품 제조업,2005-02-17
079160,CJ CGV,"영화, 비디오물, 방송프로그램 제작 및 배급업",2004-12-24
